Unnamed: 0,source_dataset,node,source_workflow,process,runtime_s,peak_mem,energy_j,rchar,cpus,concurrent_task_count,cores,ram,cpu_benchmark,io_read,io_write,task_type
7029.0,augur_hu,hu-c44,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,7000.0,21438464.0,911.6917,,2.0,6.0,32.0,256.0,1070.4,421.0,492.0,SAMTOOLS_INDEX
7030.0,augur_hu,hu-c42,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,7000.0,23019520.0,809.8152,,2.0,3.0,32.0,256.0,1049.8,1380.0,972.0,SAMTOOLS_INDEX
7031.0,augur_hu,hu-c44,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,12000.0,20402176.0,1521.468,,2.0,9.0,32.0,256.0,1070.4,421.0,492.0,SAMTOOLS_INDEX
7032.0,augur_hu,hu-c45,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,10000.0,21848064.0,1334.5564,,2.0,7.0,32.0,256.0,1066.66,420.0,499.0,SAMTOOLS_INDEX
7033.0,augur_hu,hu-c40,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,7000.0,20959232.0,917.9186,,2.0,5.0,32.0,256.0,1056.95,1362.0,952.0,SAMTOOLS_INDEX
7034.0,augur_hu,hu-c42,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,7000.0,21127168.0,1077.8939,,2.0,5.0,32.0,256.0,1049.8,1380.0,972.0,SAMTOOLS_INDEX
7035.0,augur_hu,hu-c42,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,12000.0,19582976.0,1377.3611,,2.0,6.0,32.0,256.0,1049.8,1380.0,972.0,SAMTOOLS_INDEX
7036.0,augur_hu,hu-c45,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,7000.0,22030336.0,981.21825,,2.0,6.0,32.0,256.0,1066.66,420.0,499.0,SAMTOOLS_INDEX
7037.0,augur_hu,hu-c40,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,9000.0,21581824.0,1368.409,,2.0,4.0,32.0,256.0,1056.95,1362.0,952.0,SAMTOOLS_INDEX
7038.0,augur_hu,hu-c42,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,8000.0,21213184.0,917.4431,,2.0,4.0,32.0,256.0,1049.8,1380.0,972.0,SAMTOOLS_INDEX
7039.0,augur_hu,hu-c44,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,8000.0,22302720.0,1041.213,,2.0,6.0,32.0,256.0,1070.4,421.0,492.0,SAMTOOLS_INDEX
