AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.3.521.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,1000 milli-seconds
Profile Start Time:,Sep-02-2026_01-30-25,
Profile Duration:,4000 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
175,1:33:21:515,   28.56,    3.29,    4.38,    2.31,    4.44,    4.46,    3.18
176,1:33:22:519,   28.48,    3.48,    4.75,    2.28,    4.81,    4.75,    3.30
177,1:33:23:521,   26.80,    3.10,    4.60,    3.09,    4.13,    4.53,    3.12
178,1:33:24:524,   28.67,    3.44,    4.05,    3.00,    4.08,    4.06,    3.11
179,1:33:25:526,   25.94,    3.15,    4.42,    3.35,    4.49,    4.50,    2.80
180,1:33:26:529,   27.09,    3.20,    3.95,    3.05,    4.11,    3.86,    2.81
181,1:33:27:537,   27.24,    3.46,    4.15,    2.63,    4.53,    4.27,    3.16
182,1:33:28:537,   28.54,    3.48,    4.36,    2.84,    4.30,    4.17,    3.43
183,1:33:29:538,   24.39,    2.74,    4.43,    2.85,    4.57,    4.39,    2.34
184,1:33:30:541,   25.97,    2.93,    3.77,    1.68,    4.34,    3.87,    2.07
185,1:33:31:546,   26.83,    2.96,    4.76,    1.32,    4.34,    4.67,    2.61
186,1:33:32:553,   26.07,    2.96,    4.19,    2.19,    4.30,    4.38,    2.23
187,1:33:33:561,   26.42,    3.31,    4.61,    1.25,    4.27,    4.68,    2.84
188,1:33:34:567,   26.88,    2.99,    4.24,    2.46,    4.28,    4.16,    2.39
