source_dataset,node,source_workflow,process,runtime_s,peak_mem,energy_j,rchar,cpus,concurrent_task_count,cores,ram,cpu_benchmark,io_read,io_write
augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,46000.0,22700032.0,3829.1846,3485775717.0,2.0,3.0,32.0,64.0,306.01,109.0,90.9
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,45000.0,22593536.0,3729.2668,3485775646.0,2.0,0.0,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,59000.0,24473600.0,4092.9347,3485775660.0,2.0,1.0,32.0,64.0,306.15,109.0,91.4
augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,38000.0,23564288.0,2807.2066,2903796229.0,2.0,0.0,32.0,64.0,306.01,109.0,90.9
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,40000.0,23728128.0,3161.2348,2903796149.0,2.0,0.0,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-13,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,27000.0,20291584.0,2076.4942,1833193713.0,2.0,0.0,32.0,64.0,305.89,97.6,90.6
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,52500.0,15310848.0,4485.96375,1833193645.5,2.0,1.5,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,56000.0,20977664.0,4297.85405,1746381796.5,2.0,0.5,32.0,64.0,306.01,109.0,90.9
augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,28000.0,19525632.0,1893.6386,1746381834.0,2.0,0.0,32.0,64.0,306.15,109.0,91.4
augur_gu,gpgnode-13,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,40000.0,3570487296.0,3067.704,682982303.0,6.0,0.0,32.0,64.0,305.89,97.6,90.6
augur_gu,gpgnode-13,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,105000.0,5576617984.0,7919.0384,2102570770.0,6.0,0.0,32.0,64.0,305.89,97.6,90.6
augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,407000.0,5718724608.0,30677.7908,8759454580.0,6.0,0.0,32.0,64.0,306.01,109.0,90.9
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,412000.0,5720924160.0,33393.4789,8759454509.0,6.0,0.0,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,411000.0,5721206784.0,28166.9892,8759454525.0,6.0,0.0,32.0,64.0,306.15,109.0,91.4
augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,331500.0,5722011648.0,25148.22425,6923529388.0,6.0,0.5,32.0,64.0,306.01,109.0,90.9
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,328000.0,5722292224.0,27215.5715,6923529310.0,6.0,1.0,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-13,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,280000.0,5638240256.0,21318.112,5384465412.0,6.0,0.0,32.0,64.0,305.89,97.6,90.6
augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,284000.0,5698625536.0,21493.6109,5384465415.0,6.0,0.0,32.0,64.0,306.01,109.0,90.9
