Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed,source_machine,source_workflow
train-1,asok01,atacseq,18798126,MERGED_LIB_BAM_FILTER,931822514,460976,164.5,5547986944,5278074529,2756277898,6,479768576,1851314176,6542700544,17179869184,5547986944,1024430618,1024430618,3522936056,a1,atacseq
train-1,asok01,atacseq,1175000,MERGED_LIB_BAM_FILTER,58238751,31288,156.4,14348288,386718345,196268892,6,23728128,130318336,23367680,17179869184,14471168,76696366,76696366,220203968,a1,atacseq
train-1,asok01,atacseq,37596126,MERGED_LIB_BAM_FILTER,1862380804,918988,167.5,5458354176,10947727312,6273310281,6,405504,4586618880,6449369088,17179869184,5600002048,1955594683,1955594683,7045849256,a1,atacseq
train-1,asok01,atacseq,2349800,MERGED_LIB_BAM_FILTER,116545329,61155,159.5,672034816,751151813,382353879,6,839680,253661184,5824643072,17179869184,715452416,146121644,146121644,440371968,a1,atacseq
train-1,asok01,atacseq,147000,MERGED_LIB_BAM_FILTER,7287465,4409,139.0,14221312,52253522,27067833,6,9445376,18542592,23363584,17179869184,14352384,11986479,11986479,27547568,a1,atacseq
train-1,asok01,atacseq,4699600,MERGED_LIB_BAM_FILTER,233161053,121472,159.8,1418309632,1449197697,742504642,6,4096,493658112,5959536640,17179869184,1418309632,279293196,279293196,880745968,a1,atacseq
train-1,asok01,atacseq,9399126,MERGED_LIB_BAM_FILTER,466177547,238226,161.7,2819956736,2778140325,1436361913,6,16384,959201280,6155456512,17179869184,2819956736,534928962,534928962,1761479256,a1,atacseq
train-1,asok01,atacseq,73600,MERGED_LIB_BAM_FILTER,3653358,2177,138.3,14450688,27247924,14473146,6,4767744,10190848,23228416,17179869184,14581760,6914104,6914104,13791968,a1,atacseq
test,asok01,atacseq,75192126,MERGED_LIB_BAM_FILTER,3259653689,1776545,166.1,5602410496,21204447331,12725038537,6,1356820480,9675907072,6612094976,17179869184,5602676736,3705266001,3705266001,14091675276,a1,atacseq
train-1,asok01,atacseq,587600,MERGED_LIB_BAM_FILTER,29105620,15776,155.8,14315520,198092838,100653716,6,1916928,67153920,23433216,17179869184,14442496,40529814,40529814,110119968,a1,atacseq
train-1,asok01,atacseq,293800,MERGED_LIB_BAM_FILTER,14554208,7922,154.4,93573120,101445614,51839687,6,18669568,34930688,5780602880,17179869184,94597120,21743412,21743412,55059168,a1,atacseq
train-1,asok01,atacseq,18798126,MERGED_LIB_BAM_REMOVE_ORPHAN,931822514,270154,132.9,5017874432,4451061692,1796017050,6,859430912,1796546560,6311186432,17179869184,5380382720,1850735800,1850735800,3522936056,a1,atacseq
train-1,asok01,atacseq,1175000,MERGED_LIB_BAM_REMOVE_ORPHAN,58238751,20000,120.6,22659072,313026379,126748105,6,79093760,126795776,33370112,17179869184,22659072,130211136,130211136,220203968,a1,atacseq
train-1,asok01,atacseq,37596126,MERGED_LIB_BAM_REMOVE_ORPHAN,1862380804,554143,137.2,5476671488,9419874285,4402068280,6,1496150016,4403093504,6418972672,17179869184,5603086336,3517830403,3517830403,7045849256,a1,atacseq
train-1,asok01,atacseq,2349800,MERGED_LIB_BAM_REMOVE_ORPHAN,116545329,37748,125.5,652283904,612127730,246641518,6,133165056,246714368,5891756032,17179869184,695455744,253522363,253522363,440371968,a1,atacseq
train-1,asok01,atacseq,147000,MERGED_LIB_BAM_REMOVE_ORPHAN,7287465,2654,119.1,22159360,42694082,18006997,6,8101888,18026496,33370112,17179869184,22159360,18469666,18469666,27547568,a1,atacseq
train-1,asok01,atacseq,4699600,MERGED_LIB_BAM_REMOVE_ORPHAN,233161053,72476,129.1,1286369280,1192431525,479610938,6,258920448,479748096,5942087680,17179869184,1374838784,493453908,493453908,880745968,a1,atacseq
