AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.3.521.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,1000 milli-seconds
Profile Start Time:,Sep-02-2026_01-57-22,
Profile Duration:,4000 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
154,1:59:57:271,   33.85,    5.61,    5.53,    4.80,    3.78,    3.34,    5.04
155,1:59:58:273,   33.11,    4.89,    5.51,    4.36,    5.26,    5.64,    4.62
156,1:59:59:281,   25.70,    3.17,    4.97,    2.60,    5.03,    5.51,    2.91
157,2:0:0:285,   21.03,    2.33,    3.22,    1.84,    2.91,    5.08,    2.03
158,2:0:1:290,   10.96,    0.88,    1.25,    0.64,    3.62,    3.34,    0.77
159,2:0:2:298,   12.35,    0.95,    1.60,    0.73,    2.54,    1.31,    0.79
160,2:0:3:303,   11.78,    1.17,    1.59,    0.91,    2.79,    1.62,    1.12
161,2:0:4:305,    5.08,    0.49,    0.75,    0.18,    2.29,    1.74,    0.28
162,2:0:5:308,   10.99,    1.39,    1.64,    0.91,    0.19,    0.94,    1.30
163,2:0:6:315,    8.65,    1.32,    1.33,    0.75,    1.06,    1.73,    1.08
164,2:0:7:315,    3.30,    0.55,    0.46,    0.10,    0.85,    1.43,    0.29
165,2:0:8:320,    3.46,    0.34,    0.43,    0.09,    0.16,    0.36,    0.26
166,2:0:9:321,   19.26,    2.00,    2.42,    1.68,    0.28,    0.36,    2.04
167,2:0:10:321,   11.53,    1.50,    1.85,    0.93,    3.82,    2.71,    1.31
168,2:0:11:321,   18.69,    2.98,    3.04,    2.11,    1.04,    1.80,    2.54
169,2:0:12:323,    4.33,    0.36,    0.44,    0.09,    2.41,    3.16,    0.30
170,2:0:13:331,    4.05,    0.33,    0.54,    0.16,    0.36,    0.41,    0.37
171,2:0:14:331,   17.20,    2.72,    2.98,    1.97,    0.22,    0.48,    2.37
172,2:0:15:340,    4.63,    0.45,    0.78,    0.13,    2.13,    2.85,    0.26
173,2:0:16:345,    5.50,    0.75,    0.76,    0.31,    0.22,    0.51,    0.35
174,2:0:17:348,   27.40,    4.85,    4.93,    3.62,    0.37,    0.84,    4.02
175,2:0:18:352,   25.85,    3.57,    5.47,    2.72,    3.72,    5.02,    3.20
176,2:0:19:358,   20.47,    1.89,    5.39,    1.05,    1.70,    5.59,    1.70
177,2:0:20:362,   25.35,    2.56,    4.87,    2.07,    0.61,    5.61,    2.29
178,2:0:21:363,   22.97,    1.01,    4.78,    0.62,    4.24,    3.88,    0.79
179,2:0:22:372,   25.51,    1.68,    5.37,    1.28,    4.26,    5.18,    1.44
180,2:0:23:378,   23.46,    1.42,    6.17,    1.09,    4.20,    5.43,    1.27
181,2:0:24:383,   18.35,    1.43,    4.95,    0.50,    1.33,    6.17,    1.02
182,2:0:25:389,   10.94,    0.80,    1.43,    0.41,    0.25,    4.98,    0.67
183,2:0:26:395,   25.91,    2.60,    4.71,    1.89,    1.89,    1.76,    2.18
184,2:0:27:398,   23.52,    1.27,    4.12,    0.84,    4.27,    4.99,    1.05
185,2:0:28:404,   21.05,    1.73,    3.96,    1.16,    4.22,    6.02,    1.43
186,2:0:29:411,   13.08,    1.68,    2.20,    1.25,    3.50,    4.23,    1.67
187,2:0:30:419,   25.19,    2.37,    4.43,    1.80,    1.69,    2.24,    2.17
188,2:0:31:422,   24.44,    1.31,    5.42,    0.91,    4.04,    4.88,    1.14
189,2:0:32:426,   22.74,    1.95,    4.39,    1.32,    4.23,    5.40,    1.74
190,2:0:33:429,    9.87,    1.36,    1.59,    0.89,    3.78,    4.55,    1.15
191,2:0:34:431,   24.78,    2.43,    4.32,    1.96,    1.05,    1.71,    2.26
192,2:0:35:433,   25.21,    1.60,    5.51,    0.98,    4.18,    4.56,    1.19
193,2:0:36:433,   25.40,    1.52,    5.53,    1.09,    4.21,    5.53,    1.26
194,2:0:37:442,   23.76,    1.60,    6.27,    1.18,    4.26,    5.48,    1.38
195,2:0:38:444,   20.80,    1.49,    5.35,    0.71,    1.17,    6.32,    1.15
196,2:0:39:447,    4.33,    0.51,    1.09,    0.17,    0.44,    5.44,    0.47
197,2:0:40:447,   24.17,    2.62,    4.23,    2.38,    0.40,    0.67,    2.41
198,2:0:41:456,   24.64,    1.43,    5.20,    1.03,    4.01,    3.64,    1.22
199,2:0:42:463,   23.69,    1.90,    4.68,    1.17,    4.21,    5.24,    1.58
200,2:0:43:472,    9.76,    1.14,    1.51,    0.88,    3.87,    4.85,    1.15
201,2:0:44:479,   24.05,    2.51,    4.38,    1.91,    1.32,    1.43,    2.41
202,2:0:45:479,   24.89,    1.56,    5.31,    1.09,    3.96,    4.28,    1.21
203,2:0:46:483,   24.87,    2.13,    5.04,    1.31,    4.30,    5.33,    1.64
204,2:0:47:488,   11.40,    1.50,    1.86,    1.07,    4.08,    4.95,    1.36
205,2:0:48:489,   25.76,    2.56,    4.36,    1.94,    1.43,    1.86,    2.28
206,2:0:49:495,   24.70,    1.39,    5.38,    0.97,    4.24,    5.03,    1.18
207,2:0:50:502,   25.11,    1.75,    5.17,    1.11,    4.25,    5.39,    1.35
208,2:0:51:504,   23.70,    1.44,    5.88,    1.12,    4.31,    5.24,    1.30
209,2:0:52:509,   14.19,    1.39,    3.11,    0.45,    1.49,    6.60,    1.03
210,2:0:53:511,   14.15,    1.78,    2.40,    1.29,    0.30,    3.31,    1.76
211,2:0:54:518,   24.94,    2.17,    4.86,    1.65,    1.71,    2.26,    1.75
212,2:0:55:522,   24.83,    1.51,    5.28,    1.28,    4.05,    4.60,    1.40
213,2:0:56:529,   25.36,    1.72,    5.25,    1.27,    4.33,    5.28,    1.54
214,2:0:57:536,   22.66,    1.12,    6.44,    0.76,    4.37,    5.21,    0.90
215,2:0:58:543,   13.19,    1.30,    2.76,    0.53,    0.68,    6.39,    1.04
216,2:0:59:549,   12.39,    1.43,    2.08,    1.01,    0.33,    2.91,    1.41
217,2:1:0:557,   11.64,    0.97,    1.53,    0.69,    1.66,    2.11,    1.06
218,2:1:1:566,   12.20,    1.65,    1.67,    1.09,    2.73,    1.54,    1.33
219,2:1:2:574,   21.94,    3.65,    3.69,    2.54,    1.05,    2.02,    3.13
220,2:1:3:580,   12.82,    1.83,    1.97,    1.25,    2.73,    3.88,    1.68
221,2:1:4:586,   25.96,    3.52,    5.54,    2.54,    1.40,    2.07,    3.00
222,2:1:5:587,   26.59,    3.01,    5.10,    2.11,    1.88,    5.50,    2.78
223,2:1:6:594,   26.84,    3.13,    4.65,    2.18,    3.61,    5.19,    2.81
224,2:1:7:599,   27.05,    3.26,    4.63,    2.38,    4.30,    4.73,    2.97
225,2:1:8:599,   25.75,    3.11,    4.32,    2.36,    4.21,    4.72,    2.81
226,2:1:9:605,   25.73,    2.83,    4.60,    1.84,    3.92,    4.36,    2.59
227,2:1:10:614,   26.41,    3.12,    4.58,    2.29,    4.12,    4.57,    2.89
228,2:1:11:615,   25.35,    2.75,    4.19,    1.98,    4.14,    4.42,    2.70
229,2:1:12:615,   26.54,    2.90,    4.68,    1.79,    4.17,    4.24,    2.59
230,2:1:13:619,   27.91,    3.12,    4.92,    2.01,    4.24,    4.69,    2.76
231,2:1:14:626,   25.17,    3.06,    4.18,    2.30,    4.24,    4.93,    2.92
232,2:1:15:634,   26.76,    3.49,    4.31,    2.88,    4.14,    4.19,    3.22
233,2:1:16:633,   25.97,    3.19,    4.18,    2.57,    4.17,    4.34,    2.87
234,2:1:17:636,   25.53,    3.15,    4.19,    2.37,    4.16,    4.36,    2.92
235,2:1:18:643,   25.70,    3.20,    4.07,    2.49,    4.13,    4.13,    2.78
236,2:1:19:645,   26.69,    3.31,    4.56,    2.61,    3.98,    4.26,    3.04
237,2:1:20:648,   27.45,    3.54,    4.66,    2.81,    4.28,    4.47,    3.14
238,2:1:21:648,   14.55,    1.39,    1.71,    0.88,    4.30,    4.45,    1.08
239,2:1:22:650,   16.49,    1.89,    2.49,    1.33,    2.97,    1.89,    1.67
240,2:1:23:657,   23.60,    3.59,    3.84,    2.78,    3.25,    2.12,    3.23
241,2:1:24:665,   22.80,    3.34,    3.36,    2.68,    4.15,    3.63,    2.96
242,2:1:25:667,   28.31,    4.39,    4.66,    3.66,    3.99,    3.54,    4.08
243,2:1:26:672,   24.54,    3.74,    3.73,    3.04,    4.73,    4.54,    3.26
244,2:1:27:677,   19.58,    2.62,    2.87,    2.07,    4.08,    3.79,    2.30
245,2:1:28:685,   10.35,    0.83,    1.06,    0.54,    3.55,    2.78,    0.76
246,2:1:29:689,   18.10,    2.41,    2.70,    1.80,    2.56,    1.23,    2.22
247,2:1:30:694,   31.78,    5.19,    5.28,    4.28,    3.52,    2.78,    4.60
248,2:1:31:693,   32.76,    5.17,    5.35,    4.51,    5.13,    5.19,    4.88
249,2:1:32:696,   27.58,    3.92,    4.35,    3.47,    5.11,    5.27,    3.83
250,2:1:33:701,   33.12,    5.14,    5.41,    4.47,    4.57,    4.41,    4.88
251,2:1:34:707,   28.79,    4.56,    4.63,    3.82,    5.16,    5.33,    4.16
252,2:1:35:709,   33.34,    5.44,    5.53,    4.53,    4.74,    4.67,    4.90
253,2:1:36:713,   32.45,    5.20,    5.32,    4.33,    5.14,    5.36,    4.90
254,2:1:37:715,   32.54,    5.16,    5.31,    4.46,    5.14,    5.21,    4.83
255,2:1:38:718,   32.38,    4.79,    5.31,    4.37,    5.05,    5.31,    4.78
256,2:1:39:720,   30.11,    4.42,    4.87,    4.11,    5.06,    5.19,    4.33
257,2:1:40:722,   29.94,    4.48,    4.97,    4.08,    4.60,    4.83,    4.39
258,2:1:41:726,   30.02,    4.55,    4.83,    3.98,    4.75,    4.79,    4.28
259,2:1:42:729,   28.53,    4.46,    4.66,    3.69,    4.70,    4.77,    4.06
260,2:1:43:731,   27.60,    4.27,    4.42,    3.53,    4.53,    4.51,    3.88
261,2:1:44:738,   29.87,    4.74,    4.78,    3.93,    4.59,    4.38,    4.22
262,2:1:45:746,   27.60,    4.14,    4.08,    3.40,    4.85,    4.77,    3.57
263,2:1:46:752,    8.65,    0.57,    0.83,    0.42,    4.49,    4.34,    0.58
264,2:1:47:759,   20.54,    2.83,    3.20,    2.33,    2.27,    0.80,    2.68
265,2:1:48:766,   11.90,    1.17,    1.32,    0.86,    3.61,    3.06,    0.94
266,2:1:49:772,   25.39,    3.87,    4.14,    3.25,    2.54,    1.33,    3.72
267,2:1:50:779,   25.37,    3.74,    3.80,    3.04,    4.30,    3.92,    3.21
268,2:1:51:784,   30.38,    4.85,    5.08,    4.12,    4.21,    4.04,    4.42
269,2:1:52:792,   32.43,    5.19,    5.27,    4.40,    4.95,    4.93,    4.68
270,2:1:53:797,   33.21,    5.23,    5.19,    5.04,    5.08,    5.23,    5.13
271,2:1:54:803,   28.75,    4.48,    4.84,    3.88,    5.30,    5.22,    4.32
272,2:1:55:810,   29.45,    4.81,    5.19,    3.77,    3.94,    4.68,    4.40
